epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss
1;170.148;1.41075;3.89839;0.92636;0.61381;0.21105;0.19442;0.11885;1.38972;1.65146;0.90429
2;336.907;1.40905;1.56734;0.91313;0.54712;0.22681;0.28307;0.17341;1.26817;1.48384;0.89417
3;498.316;1.47962;1.42515;0.93103;0.68317;0.18254;0.21486;0.11865;1.50816;1.81273;0.94836
4;655.231;1.47805;1.35961;0.9446;0.51462;0.27705;0.26796;0.14581;1.5341;1.44179;0.96533
5;817.156;1.45577;1.27173;0.94547;0.58977;0.35119;0.32151;0.19159;1.37911;1.35517;0.92797
6;977.196;1.43628;1.16939;0.92966;0.68621;0.29652;0.31247;0.18902;1.41346;1.35914;0.93821
7;1137.37;1.39872;1.14398;0.92695;0.67146;0.34398;0.36768;0.22554;1.35228;1.1802;0.91984
8;1298.81;1.34879;1.06388;0.91888;0.38079;0.44704;0.38079;0.23525;1.31896;1.17509;0.91986
9;1455.51;1.34635;1.06822;0.91773;0.59174;0.37276;0.41872;0.24761;1.32744;1.09147;0.91191
10;1614.86;1.33989;1.02664;0.91743;0.72172;0.43425;0.44216;0.2758;1.28467;1.0531;0.91222
11;1776.12;1.31617;1.00644;0.92022;0.64558;0.40123;0.44805;0.27715;1.29611;1.0589;0.90881
12;1934.07;1.32022;1.01617;0.92279;0.68346;0.38792;0.4068;0.2534;1.28151;1.08112;0.90571
13;2093.1;1.30453;0.98799;0.90606;0.61956;0.47937;0.49375;0.30956;1.27076;1.01236;0.91017
14;2253.17;1.28938;0.95108;0.9066;0.56663;0.4996;0.49989;0.31298;1.24213;0.96561;0.90367
15;2412.92;1.27051;0.92549;0.91045;0.66008;0.4531;0.54787;0.3354;1.2607;0.94104;0.91018
16;2570.9;1.25908;0.91857;0.90101;0.6492;0.46402;0.49037;0.30932;1.25703;0.95652;0.89861
17;2728.56;1.2479;0.89058;0.89974;0.43884;0.574;0.54156;0.33036;1.27657;0.92584;0.90738
18;2887.55;1.24739;0.87903;0.89993;0.60337;0.48268;0.54438;0.35063;1.22759;0.91535;0.89568
19;3050.07;1.25608;0.87449;0.90112;0.66169;0.49717;0.60773;0.3913;1.21502;0.89065;0.89569
20;3215.37;1.23528;0.8532;0.89746;0.75398;0.47109;0.53124;0.33524;1.25087;0.87549;0.89968
21;3374.1;1.22895;0.86142;0.90234;0.59356;0.48808;0.59267;0.37104;1.26542;0.90228;0.90496
22;3533.34;1.2398;0.84282;0.89912;0.61968;0.52683;0.62981;0.40286;1.20842;0.87311;0.89508
23;3695.85;1.22207;0.83253;0.89751;0.70352;0.40557;0.56516;0.36011;1.19394;0.88819;0.88814
24;3858.51;1.21494;0.84473;0.89895;0.44269;0.64809;0.59292;0.37161;1.22125;0.8943;0.89304
25;4019.49;1.21613;0.8268;0.89935;0.49238;0.64465;0.65713;0.41997;1.20906;0.82406;0.89605
26;4181.69;1.20935;0.8335;0.89481;0.6598;0.52784;0.61543;0.39353;1.24807;0.8358;0.89732
27;4343.25;1.21557;0.81402;0.8941;0.46361;0.58955;0.59373;0.38502;1.19663;0.83876;0.89281
28;4506.31;1.19347;0.79336;0.8934;0.70753;0.46661;0.58373;0.37827;1.21989;0.88681;0.89635
29;4669.09;1.19455;0.80561;0.89068;0.58677;0.62125;0.61914;0.39985;1.22926;0.82108;0.8934
30;4832.03;1.17794;0.79851;0.89034;0.55731;0.617;0.63187;0.4112;1.1909;0.80899;0.88913
31;4994.06;1.17089;0.78148;0.89036;0.62457;0.56088;0.63649;0.38732;1.24617;0.84135;0.89881
32;5157.37;1.19165;0.78642;0.88903;0.65746;0.61797;0.65011;0.39876;1.22768;0.79563;0.89411
33;5317.87;1.1748;0.7712;0.88008;0.68235;0.61411;0.67268;0.4256;1.23404;0.81932;0.89265
34;5479.86;1.17467;0.7751;0.89033;0.65727;0.64123;0.67872;0.42035;1.24707;0.80541;0.89779
35;5643.51;1.16359;0.7569;0.88491;0.5725;0.66595;0.65244;0.42364;1.2192;0.79404;0.89376
36;5806.73;1.1739;0.77628;0.88712;0.68745;0.59428;0.63736;0.42402;1.19991;0.80727;0.89016
37;5970.76;1.16091;0.74857;0.882;0.65296;0.59301;0.65758;0.42124;1.21139;0.7736;0.89099
38;6135.55;1.16513;0.75999;0.88467;0.48152;0.68475;0.66055;0.42579;1.21996;0.79786;0.89098
39;6298.8;1.16596;0.75048;0.88354;0.57408;0.65157;0.66664;0.42083;1.18585;0.82286;0.88913
40;6462.49;1.1455;0.7443;0.87936;0.70537;0.54865;0.64648;0.41365;1.18131;0.77132;0.88786
41;6627.79;1.14768;0.7551;0.88581;0.61446;0.61732;0.66841;0.43815;1.17072;0.76827;0.88575
42;6794.96;1.1524;0.73826;0.88322;0.63694;0.59489;0.6559;0.3999;1.24876;0.8274;0.90104
43;6961.58;1.15487;0.73833;0.88365;0.58976;0.66334;0.68525;0.43836;1.16293;0.77425;0.88342
44;7128.27;1.1442;0.73669;0.88219;0.74166;0.57413;0.69655;0.45623;1.17278;0.74952;0.88357
45;7293.97;1.13193;0.72482;0.88238;0.57827;0.64233;0.68352;0.42212;1.23489;0.77407;0.89523
46;7457.41;1.13606;0.71761;0.87971;0.74206;0.58662;0.677;0.42106;1.16994;0.79341;0.88367
47;7618.4;1.14039;0.71165;0.87962;0.62504;0.64237;0.68572;0.42982;1.18714;0.76855;0.88774
48;7778.36;1.13466;0.71046;0.87589;0.58201;0.66578;0.66339;0.42207;1.16896;0.76317;0.88268
49;7938.15;1.12692;0.70022;0.87803;0.65671;0.62083;0.68745;0.43342;1.18777;0.72909;0.88807
50;8098.95;1.13831;0.71109;0.88072;0.66738;0.61838;0.70236;0.45238;1.16201;0.71752;0.88168
51;8259.41;1.12343;0.69932;0.87863;0.54674;0.65064;0.685;0.42544;1.22682;0.74633;0.89068
52;8420.61;1.12162;0.70094;0.87904;0.59431;0.7069;0.68631;0.42949;1.21161;0.74076;0.88734
53;8581.97;1.12764;0.70615;0.88041;0.73703;0.62825;0.68174;0.42347;1.21854;0.72346;0.8897
54;8745.11;1.11116;0.68977;0.87448;0.66031;0.64338;0.7028;0.44745;1.17873;0.72398;0.88674
55;8909.86;1.12014;0.6957;0.87794;0.58722;0.66032;0.70047;0.43473;1.20337;0.75359;0.88894
56;9072.62;1.10892;0.68534;0.87684;0.60649;0.64921;0.68313;0.42794;1.18534;0.72192;0.88402
57;9233.79;1.11045;0.68177;0.87449;0.67103;0.60181;0.70262;0.45098;1.17507;0.72502;0.8844
58;9391.76;1.09908;0.67351;0.87725;0.5702;0.68222;0.68728;0.43914;1.16085;0.71282;0.88243
59;9549.27;1.11248;0.68056;0.87427;0.61509;0.69684;0.71991;0.44752;1.20131;0.71598;0.88588
60;9707.68;1.11004;0.68028;0.87488;0.54906;0.70909;0.68256;0.43738;1.16661;0.71721;0.88163
61;9872.15;1.10025;0.67125;0.87432;0.59455;0.69958;0.70546;0.43418;1.20274;0.71056;0.88759
62;10034.7;1.09699;0.6723;0.87452;0.68042;0.62931;0.70953;0.44978;1.17239;0.72518;0.8837
63;10195;1.10083;0.67777;0.87634;0.61031;0.71702;0.71159;0.45402;1.20169;0.71906;0.88941
64;10354.1;1.08566;0.6633;0.86737;0.66942;0.67335;0.70712;0.44898;1.1773;0.70662;0.88317
65;10513.2;1.09672;0.67276;0.86998;0.54937;0.7008;0.68365;0.43063;1.1566;0.71686;0.88089
66;10675;1.09494;0.66653;0.87024;0.73614;0.66532;0.6927;0.44604;1.15861;0.71608;0.87995
67;10838.2;1.07893;0.65988;0.87097;0.6431;0.65985;0.68268;0.42914;1.19328;0.71943;0.88613
